punto,este,norte,elevacion,descrip
1,809445.691,8077071.477,2864.499,p11
2,809446.18,8077073.929,2864.861,p12
3,809446.767,8077075.129,2865.059,p13
4,809448.274,8077076.053,2865.29,p14
5,809448.297,8077076.976,2865.478,p15
6,809449.87,8077080.247,2865.922,p16
7,809450.273,8077081.151,2866.124,p17
8,809449.348,8077083.577,2866.651,p18
9,809449.043,8077084.558,2866.613,p19
10,809453.77,8077093.727,2866.203,p20
11,809454.964,8077096.317,2867.425,p21
12,809455.887,8077103.061,2869.057,p22
13,809457.579,8077107.954,2869.774,p23
14,809458.909,8077109.188,2870.092,p24
15,809460.798,8077105.869,2870.036,p25
16,809462.123,8077104.358,2870.408,p26
17,809470.341,8077096.469,2870.412,p27
18,809459.205,8077111.501,2870.366,p28
19,809459.674,8077112.802,2870.627,p29
20,809460.365,8077113.386,2870.748,p30
21,809460.582,8077116.39,2871.013,p31
22,809464.296,8077124.085,2872.271,p32
23,809466.258,8077125.725,2872.593,p33
24,809466.125,8077129.941,2873.405,p34
25,809469.048,8077136.603,2874.268,p35
26,809471.275,8077142.146,2875.185,p36
27,809473.222,8077143.549,2875.396,p37
28,809475.735,8077144.427,2875.617,p38
29,809478.467,8077147.003,2876.526,p39
30,809480,8077149.546,2876.933,p40
31,809480.271,8077150.605,2877.04,p41
32,809480.823,8077151.151,2877.157,p42
33,809490.542,8077168.133,2879.344,p43
34,809490.511,8077168.798,2879.409,p44
35,809491.354,8077169.591,2879.469,p45
36,809492.967,8077170.867,2879.635,p46
37,809492.88,8077173.03,2879.752,p47
38,809485.851,8077173.803,2879.528,p48
39,809476.023,8077174.308,2878.719,p49
40,809471.065,8077173.907,2878.24,p50
41,809463.17,8077173.066,2877.715,p51
42,809461.748,8077170.977,2877.46,p52
43,809435.47,8077139.789,2872.376,p53
44,809451.005,8077150.883,2875.16,p54
45,809451.121,8077153.373,2875.897,p55
46,809452.791,8077174.217,2877.506,p56
47,809493.636,8077173.105,2880.729,p57
48,809502.608,8077172.087,2880.666,p58
49,809507.034,8077171.343,2881.146,p59
50,809508.474,8077171.269,2881.192,p60
51,809509.101,8077169.863,2881.118,p61
52,809509.65,8077169.536,2881.104,p62
53,809509.621,8077169.186,2881.046,p63
54,809509.619,8077167.168,2880.872,p64
